Kreis;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019
Olpe, Landkreis;136365;134983;134808;134775;133955
Donau-Ries, Landkreis;131345;132298;133043;133496;133783
Dithmarschen, Landkreis;132917;133560;133447;133210;133193
Eichstätt, Landkreis;128805;130808;131646;132341;132881
Heidenheim, Landkreis;130527;131498;132006;132472;132777
Bad Dürkheim, Landkreis;132203;132960;132739;132660;132671
Main-Tauber-Kreis;132181;132274;132189;132321;132399
Northeim, Landkreis;134896;133610;133046;132765;132285
Neunkirchen, Landkreis;133735;133984;133297;132206;131408
Steinburg, Landkreis;131457;131875;131613;131347;131013
Oldenburg, Landkreis;128608;129484;129924;130144;130890
Sigmaringen, Landkreis;130772;130275;130192;130873;130849
Offenbach am Main;123734;124589;126658;128744;130280
Ahrweiler, Landkreis;127770;128455;128914;129727;130086
Alzey-Worms, Landkreis;127274;128197;128519;129244;129687
Germersheim, Landkreis;127303;128205;128477;129075;129013
Altenkirchen (Westerwald), Landkreis;129171;128961;128791;128705;128805
Miltenberg, Landkreis;128446;128543;128484;128756;128743
Plön, Landkreis;128304;128703;128842;128647;128686
Fürth;124171;125403;126526;127748;128497
Pfaffenhofen an der Ilm, Landkreis;124128;125085;126244;127151;128227
Cham, Landkreis;126359;126918;127339;127882;127998
Würzburg;124873;126010;126635;127880;127934
Bad Tölz-Wolfratshausen, Landkreis;124930;125668;126572;127227;127917
Günzburg, Landkreis;123153;123498;124519;125747;127027
Ulm;122636;123953;125596;126329;126790
Roth, Landkreis;125140;125563;126101;126958;126749
Heilbronn;122567;123771;125113;125960;126592
Main-Spessart, Landkreis;126123;126301;126523;126365;126158
Pforzheim;122247;123493;124289;125542;125957
Wittenberg, Landkreis;128447;127449;126815;125840;124953
Schmalkalden-Meiningen, Landkreis;124623;123506;122952;122347;124916
Ammerland, Landkreis;121435;122698;123377;124071;124859
Wolfsburg;124045;123909;123914;124151;124371
Kelheim, Landkreis;118965;119969;121119;122258;123058
Rhein-Lahn-Kreis;123543;122553;122381;122308;122297
Rottal-Inn, Landkreis;119218;119617;120371;120659;121502
Nienburg (Weser), Landkreis;120632;121503;121470;121386;121390
Hersfeld-Rotenburg, Landkreis;121166;121037;121101;120829;120719
Landsberg am Lech, Landkreis;117657;118725;119141;120071;120302
Wolfenbüttel, Landkreis;120981;120904;120437;119960;119622
